YORF	0 hr	9.5 hr	11.5 hr	13.5 hr	15.5 hr	18.5 hr	20.5 hr
YLR289W	-0.09	-0.45	0.08	0.08	-0.58	0.81	0.03
YKR051W	0	-0.23	0.12	0.03	-0.23	0.58	0
YGR137W	0.29	-0.32	0.08	0.12	-0.04	0.86	0.21
YMR044W	0.12	-0.12	-0.07	0	-0.1	0.21	-0.04
YNR035C	0.06	0.01	-0.1	-0.04	-0.15	0.29	0
YLR309C	0.19	-0.03	-0.54	-0.07	-0.09	0.69	0.14
YMR002W	0.48	0.08	-0.23	-0.15	-0.04	1.09	0.45
YJR045C	0.25	0.21	-0.22	-0.01	0.04	0.69	0.41
YHR162W	0.12	0.03	0.03	-0.01	0.24	0.2	
YBL007C	0.16	-0.1	0.08	0.19	0.29	0.48	-0.04
YFR026C	-0.3	0.11	-0.01	-0.22	0.21	0.54	-0.18
YER135C	-0.51	0.34	0.06	-0.32	0.19	0.69	0
YER161C	-0.34	0.16	0.3	-0.49	0.2	0.64	0.01
YDR347W	-0.09	0.15	0.15	-0.18	0.15	0.38	0.04
YPL096W	-0.45	0.3	0.3	-0.23	-0.09	0.67	0
YGL019W	-0.17	0.43	0.14	-0.06	-0.18	0.5	-0.14
YCR083W	-0.12	0.71	0	-0.36	-0.4	0.62	-0.2
YJL184W	-0.1	0.29	0.03	-0.23	-0.27	0.48	-0.29
YJR112W	-0.27	0.43	0.21	-0.06	-0.6	0.56	-0.34
YHR150W	-0.1	0.38	0.19	-0.14	-0.38	0.29	-0.22
YDL200C	-0.27	0.41	0.04	-0.17	-0.36	0.32	-0.01
YML047C	-0.62	0.6	0.25	-0.18	-0.42	0.34	-0.58
YHL019C	-0.47	0.32	0.11	-0.12	-0.23	0.41	-0.27
YBR066C	-0.56	0.25	0.03	-0.04	-0.23	0.45	-0.34
YBL091C	-0.79	0.21	0.71	0.06	-0.49	0.52	-0.34
YBR217W	-0.45	0.34	0.4	0.07	-0.56	0.21	-0.18
YER005W	-0.42	0.15	0.32	-0.14	-0.62	0.36	-0.27
YJR128W	-0.49	0.48	0.84	-0.36	-0.62	0.26	-0.22
YML051W	-0.25	0.41	0.54	-0.18	-0.36	0.4	-0.4
YOL070C	-0.15	0.38	0.5	-0.27	-0.34	0.34	-0.25
YNL250W	-0.18	0.12	0.3	-0.18	-0.23	0.2	-0.17
YDR266C	-0.22	0.23	0.41	-0.31	-0.35	0.17	-0.41
YHR144C	-0.34		0.52	-0.18	-0.43	0.26	-0.42
YOR105W		0.15	0.26	-0.06	-0.18	0.06	-0.23
YGR038W	-0.22	0.21	0.45	0.19	-0.14	0.15	-0.15
YBL089W	-0.34	0.24	0.52	0	-0.3	0.01	0.03
YDR379W	-0.09	0.14	0	0.14	-0.1	0.16	0.15
YDR517W	-0.29	0.16	0.01	0.12	-0.14	0.3	0.4
YDR259C	-0.29	0.04	-0.25	0.24	-0.6	0.48	0.58
YFL029C	-0.07	0.06	0	0.03	-0.18	0.04	0.12
YBR076W	-0.51	0.12	0.12	0.11	-0.54	0.36	0.43
YML029W	-0.23	0	0.04	0.07	-0.18	0.06	0.16
YCR105W	-0.62	-0.27	0.34	0.52	-0.3	0.52	0.29
YHR160C	-0.38	-0.25	0.15	0.38	-0.51	0.43	
YDR088C	-1.06	-0.54	-0.15	0.19	-0.64	0.54	0.12
YDR263C	-0.4	-0.33	-0.05	0.03	-0.57	0.22	0.05
YHL041W	-0.38	-0.27	-0.22	0.19	-0.47	0.25	0.04
YFR012W	-0.49	-0.49	-0.25	0.32	-0.56	0.45	0.08
YDR102C	-0.3	-0.36	-0.1	0.3	-0.74	0.5	-0.06
YNL011C	-0.17	-0.36	-0.14	0.03	-0.4	0.32	-0.01
YDR220C	-0.32	-0.1	-0.17	-0.18	-0.47	0.4	-0.09
YJR154W	-0.27	0.03	-0.04	-0.04	-0.49	0.45	-0.14
YBR211C	-0.4	-0.06	0	-0.17	-0.62	0.41	-0.29
YDR252W	-0.25	-0.12	0.03	-0.18	-0.56	0.26	-0.18
YDR360W	-0.18	0.03	-0.04	-0.12	-0.6	0.2	-0.22
YMR151W	-0.3	-0.1	-0.18	-0.17	-0.56	0.11	-0.23
YAR029W	-0.51	0.04	-0.34	0.07	-0.58	0.26	-0.23
YBR231C	-0.76	0.48	-0.3	-0.12	-0.81	0.4	-0.29
YDR078C	-0.43	0.3	-0.12	-0.07	-0.54	0.36	
YCR040W	-0.69	0.67	-0.22	-0.62	-0.74	0.2	0.04
YBL073W	-0.56	0.32	-0.18	-0.67	-0.69	0	-0.01
YBR213W	-0.69	0.29	-0.18	-0.51	-0.71	0.12	-0.06
YGL240W	-0.74	0.36	-0.18	-0.67	-0.56	0.08	-0.23
YER084W	-0.51	-0.01	-0.27	-0.36	-0.62	0.21	-0.12
YBR239C	-0.64	0.2	-0.25	-0.64	-0.89	0.34	-0.17
YDR332W	-0.43	0.11	0	-0.36	-0.43	0.2	-0.09
YBR207W	-0.43	-0.01	-0.06	-0.2	-0.43	0.24	-0.04
YAL010C	-1.18	-0.1	0.04	-0.89	-0.92	0.36	-0.18
YAL013W	-0.76	-0.29	-0.1	-0.71	-0.64	0.21	-0.1
YIR029W	-1.03	0.08	-0.29	-0.64	-0.51	0.34	0.12
YML101C	-0.42	-0.01	-0.27	-0.45	-0.23	0.08	0.06
YKR002W	-0.62	0.08	0.14	-0.29	-0.22	0.26	-0.04
YHR122W	-1.12	0.07	0.29	-0.42	-0.4	0.32	-0.09
YBR044C	-0.49	0	0.24	-0.1	-0.6	0.19	-0.01
YBR184W	-0.6	0.2	0.25	0	-0.71	0.01	-0.03
YCL010C	-0.34	0.41	0.12	-0.18	-0.54	0	0.11
YCL004W	-0.34	0.12	0.07	-0.29	-0.49	0.06	0.16
YFR027W	-0.58	0.2	0.14	-0.29	-0.71	0.2	0.29
YAR062W	-0.42	0.2	0.14	-0.1	-0.67	0.24	0.43
YBL097W	-0.4	0.15	0.32	-0.3	-0.58	0.3	0.41
YMR265C	-0.67	0.41	0.38	-0.4	-0.67	0.32	0.19
YER095W	-0.84	0.36	0.48	-0.38	-0.56	0.25	0.58
YNL230C	-0.29	-0.18	0.58	0.03	-0.54	0.06	0.12
YDR316W	-0.64	-0.14	0.54	-0.1	-0.58	0.15	0.26
YBL069W	-0.56	-0.04	0.48	-0.22	-0.47	0	0.16
YLR296W	-0.58	-0.23	0.56	-0.43	-0.56	-0.03	0.07
YIR031C	-0.6	-0.43	0.69	-0.51	-0.34	0.19	0.04
YLR366W	-0.42	-0.42	0.71	-0.36	-0.56	0.25	0.06
YMR106C	-0.27	-0.1	0.43	-0.56	-0.38	0.21	0.04
YGR156W	-0.04	-0.27	0.29	-0.22	-0.3	0.15	-0.1
YMR227C	-0.1	-0.34	0.32	-0.45	-0.54	0.32	-0.14
YGR188C	0	-0.25	0.25	-0.23	-0.42	0.24	-0.04
YDR128W	0.01	-0.18	0.21	-0.14	-0.34	0.16	-0.18
YDR140W	-0.1	-0.23	0.29	-0.3	-0.71	0.32	-0.18
YNL240C	-0.06	-0.12	0.32	-0.3	-0.47	0.21	-0.14
YBL029W	-0.07	-0.1	0.29	-0.25	-0.43	0.21	-0.18
YPL194W	0	-0.17	0.3	-0.27	-0.47	0.15	-0.23
YBR061C	-0.1	-0.15	0.38	-0.43	-0.58	0.15	-0.3
YKR034W	-0.07	-0.1	0.45	-0.18	-0.6	0.19	-0.23
YBR228W	-0.07	-0.1	0.08	-0.17	-0.34	0.08	-0.14
YKR053C	-0.14	-0.2	0.14	-0.29	-0.56	0.29	-0.27
YMR177W	-0.07	-0.32	0.12	-0.4	-0.6	0.32	-0.22
YFL034C-B	-0.29	-0.42	0.21	-0.45	-0.79	0.4	-0.23
YPL108W	-0.23	-0.34	0.12	-0.36	-0.42	0.25	-0.14
YGL244W	-0.34	-0.25	0.16	-0.43	-0.51	0.19	-0.1
YBR271W	-0.42	-0.27	0.3	-0.67	-0.69	0.21	-0.42
YEL072W	-0.25	-0.06	0.14	-0.34	-0.43	0.08	-0.25
YBL081W	-0.38	-0.29	0.52	-0.49	-0.56	0.08	-0.36
YBR058C	-0.32	-0.23	0.34	-0.29	-0.34	0.12	-0.3
YDR292C	-0.36	-0.49	0.52	-0.34	-0.64	0.11	-0.4
YLR364W	-0.23	-0.34	0.3	-0.23	-0.3	0.04	-0.3
YAL042W	-0.67	-0.56	0.48	-0.51	-0.45	0.32	-0.74
YGR169C	-0.49	-0.29	0.24	-0.23	-0.27	0.32	-0.2
YBL055C	-0.71	-0.43	0.52	-0.4	-0.43	0.32	-0.23
YBL057C	-0.67	-0.38	0.41	-0.3	-0.54	0.3	-0.18
YDR488C	-0.36	-0.34	0.21	-0.2	-0.38	0.21	-0.1
YOL054W	-0.36	-0.43	0.26	-0.3	-0.45	0.41	-0.12
YJL162C	-0.38	-0.43	0.38	-0.4	-0.62	0.38	-0.4
YMR233W	-0.51	-0.3	0.36	-0.47	-0.6	0.41	-0.22
YHR031C	-0.4	-0.18		-0.38	-0.49	0.38	-0.23
YKR041W	-0.43	-0.15	0.36	-0.45	-0.51	0.48	-0.27
YIL150C	-0.4	-0.23	0.29	-0.42	-0.49	0.58	-0.32
YCL028W	-0.3	-0.17	0.19	-0.14	-0.27	0.25	-0.23
YDR348C	-0.42	-0.18	0.2	-0.27	-0.36	0.25	-0.34
YMR276W	-0.92	-0.29	0.78	-0.67	-0.97	0.38	-0.36
YGL063W	-0.43	-0.07	0.4	-0.2	-0.43	0.19	-0.04
YDR162C	-0.09	0.06	0.12	-0.36	-0.54	0.24	-0.18
YDR164C	-0.1	0.08	0.26	-0.3	-0.6	0.24	-0.18
YHL027W	-0.03	0.06	0.11	-0.23	-0.51	0.21	0
YIR020C	-0.18	0.06	0.24	-0.15	-0.47	0.19	0
YML060W	-0.2	0.11	0.21	-0.17	-0.43	0.16	-0.03
YGR004W	-0.15	0.08	0.36	-0.3	-0.45	0.25	-0.09
YER140W	-0.23	0.08	0.38	-0.34	-0.43	0.26	-0.09
YJR153W	0.01	0.06	0.34	-0.32	-0.56	0.32	0.16
YOR393W	0	0.03	0.26	-0.27	-0.54	0.3	0.14
YOR316C	-0.14	0.11	0.36	-0.27	-0.71	0.36	0.32
YMR187C	-0.15	0.01	0.4	-0.18	-0.47	0.26	0.3
YLR332W	-0.3	-0.12	0.5	-0.43	-0.76	0.45	0.24
YDR090C	-0.12	-0.06	0.24	-0.17	-0.49	0.19	-0.01
YGL183C	-0.32	-0.18	0.26	-0.15	-0.94	0.45	0.08
YBR170C	-0.23	-0.09	0.38	-0.14	-0.89	0.48	0.19
YGL085W	-0.04	-0.22	0.32	-0.06	-0.56	0.36	0.01
YKR032W	-0.03	-0.12	0.14	-0.23	-0.56	0.24	0.25
YLR263W	-0.1	-0.18	0.14	-0.34	-0.54	0.15	0.21
YOL024W	-0.18	-0.22	0.16	-0.42	-0.54	0.06	0.06
YLR352W	-0.22	-0.23		-0.69	-0.71	0.21	0.06
YGL057C	-0.18	0.01	0.12	-0.32	-0.38	0.11	0.06
YER019W	-0.34	-0.03	0.2	-0.43	-0.62	0.12	0.08
YDR234W	-0.29	0.06	0.12	-0.81	-1.12	0.34	0.26
YCL004W	-0.06	0.12	0.07	-0.34	-0.54	0.14	0.24
YKL095W	-0.1	-0.14	0.24	-0.27	-0.54	0.01	0.11
YDR414C	-0.23	-0.1	0.36	-0.32	-0.56	-0.09	0.04
YGR023W	-0.22	0.01	0.32		-0.27	0.32	0.15
YPL049C	-0.4	0.01		-0.42	-0.42	0.52	0.14
YOR255W	-0.54	0.04	0.41	-0.47	-0.32	0.43	0.24
YOR301W	-0.4	0.06		-0.3	-0.36	0.32	0.11
YHL042W	-0.2	0.03	0.08	-0.2	-0.23	0.16	0.08
YCR068W	-0.56	-0.01	0.2	-0.64	-0.69	0.41	0.15
YER028C	-0.64	-0.09	0.32	-0.62	-0.76	0.6	0.11
YCR066W	-0.76	-0.12	0.16	-0.58	-0.92	0.69	0.08
YHR126C	-0.3	-0.1	0.12	-0.29	-0.42	0.19	0.08
YCL069W	-0.6	-0.3	0.26	-0.51	-0.62	0.45	0.24
YDR183W	-0.42	-0.2	0.26	-0.42	-0.42	0.45	0.19
YGL075C	-0.47	-0.36	0.3	-0.42	-0.43	0.6	0.14
YPL174C	-0.18	-0.18	0.19	-0.18	-0.22	0.26	0.01
YDR336W	-0.4	-0.29	0.45	-0.51	-0.54	0.48	0.08
YOL164W	-0.14	-0.27	0.12	-0.6	-0.4	0.48	0.14
YNL018C	-0.18	-0.12	0.26	-0.47	-0.27	0.24	0.26
YOR223W	-0.36	-0.18	0.29	-0.56	-0.49	0.34	0.3
YJR097W	-0.18	-0.15	0.03	-0.45	-0.47	0.32	0.41
YLR460C	-0.6	-0.4	0.03	-0.76	-0.79	0.56	0.41
YEL019C	-0.18	-0.17	-0.01	-0.42	-0.49	0.32	0.11
YIL061C	-0.23	-0.1	-0.03	-0.45	-0.43	0.43	0.14
YHL016C	-0.36	-0.1	0.21	-0.81	-0.62	0.56	0.45
YJL083W	-0.29	-0.03	0.07	-0.67	-0.36	0.4	0.25
YKL118W	-0.36	0	-0.04	-0.51	-0.36	0.32	0.26
YGL165C	-0.25	-0.14	0.06	-0.43	-0.1	0.3	0.12
YJL043W	-0.23	-0.29	0.06	-0.45	-0.22	0.19	0.19
YFL013C	-0.32	-0.17	0.01	-0.54	-0.27	0.14	0.07
YJR146W	-0.32	-0.18	0.11	-0.56	-0.3	0.11	0.24
YCR051W	-0.43	-0.17	0.08	-0.6	-0.17	0.12	0.29
YDR445C	-0.09	-0.14	0.06	-0.32	-0.12	0.12	-0.04
YBR107C	-0.09	-0.15	0.14	-0.42	-0.3	0.14	-0.1
YLR411W	-0.18	0.03	-0.01	-0.47	-0.34	0.19	-0.01
YMR224C	-0.18	0	0.06	-0.34	-0.14	0.11	-0.1
YML062C	-0.1	0.03	0.03	-0.36	-0.12	0.24	-0.1
YKL029C	-0.23	0.04	0.67	-0.49	-0.36	0.41	-0.3
YPR091C	-0.03	-0.14	0.34	-0.03	-0.18	0.34	-0.04
YMR283C	0.08	-0.06	0.36	-0.09	-0.23	0.4	-0.07
YDL001W	-0.03	-0.09	0.3	-0.17	-0.27	0.36	0
YKL037W	-0.04	0.01	0.19	-0.07	-0.2	0.21	-0.01
YDR478W	-0.06	-0.04	0.38	-0.1	-0.36	0.38	-0.15
YLR183C	0.06	0.06	0.41	-0.18	-0.17	0.41	-0.17
YLR181C	0.04	0.07	0.38	-0.18	-0.29	0.54	-0.22
YLR015W	-0.1	0.07	0.32	-0.17	-0.25	0.36	-0.25
YGR036C	-0.1	0.14	0.43	-0.17	-0.3	0.38	-0.27
YHR118C	-0.03	0.11	0.43	-0.27	-0.42	0.41	-0.1
YDL189W	0.11	0.15	0.41	-0.23	-0.32	0.32	-0.1
YGR040W	-0.1	0.12	0.54	-0.12	-0.38	0.19	-0.04
YPR084W	-0.1	0.12	0.64	-0.12	-0.29	0.41	-0.1
YBR128C	-0.2	-0.1	0.54	-0.1	-0.27	0.24	-0.06
YGL179C	-0.1	-0.09	0.58	-0.1	-0.4	0.15	-0.1
YBR110W	-0.23	-0.1	0.6	-0.2	-0.49	0.26	-0.27
YCL018W	-0.3	-0.1	0.58	-0.01	-0.32	0.41	-0.18
YCR044C	-0.25	-0.01	0.78	0.08	-0.56	0.67	-0.3
YEL058W	-0.4	0.11	0.62	-0.07	-0.54	0.64	-0.29
YFL027C	-0.27	0.19	0.56	-0.09	-0.29	0.67	0.04
YHR134W	-0.18	0.14	0.45	-0.14	-0.27	0.41	0
YOR380W	-0.34	0.25	0.67	-0.12	-0.4	0.6	-0.09
YER077C	-0.27	0.12	0.38	-0.18	-0.32	0.34	0.03
YOL069W	-0.25	0.06	0.34	-0.18	-0.3	0.45	0.06
YPR116W	-0.25	0.16	0.45	-0.1	-0.62	0.45	0.06
YDR267C	-0.26	-0.07	0.23	-0.16	-0.57	0.31	-0.14
YHR005C	-0.17	-0.18		-0.07	-0.47	0.32	-0.2
YEL056W	-0.27	-0.18	0.34	-0.2	-0.64	0.54	-0.3
YMR100W	-0.23	-0.29	0.43	-0.18	-0.62	0.71	-0.27
YOR262W	-0.09	-0.17	0.34	-0.29	-0.4	0.43	-0.23
YNL279W	-0.14	-0.1	0.29	-0.3	-0.47	0.38	-0.34
YDR072C	-0.17	0.01	0.4	-0.23	-0.42	0.4	-0.1
YBR257W	-0.29	-0.1	0.4	-0.3	-0.54	0.45	-0.1
YHL014C	-0.3	-0.03	0.32	-0.2	-0.45	0.45	-0.2
YOR034C	-0.15	0.04	0.16	-0.18	-0.23	0.3	-0.09
YLR137W	-0.27	-0.07	0.25	-0.25	-0.45	0.48	0.07
YDR004W	-0.36	-0.12	0.38	-0.27	-0.51	0.67	0.04
YDR068W	-0.23	-0.09	0.25	-0.17	-0.42	0.45	0
YDR182W	-0.25	0.01	0.32	-0.14	-0.47	0.67	0.04
YDR268W	-0.43	-0.22	0.29	-0.06	-0.52	0.64	-0.12
YIR010W	-0.14	-0.18	0.3	-0.36	-0.3	0.71	-0.22
YDR498C	-0.23	-0.27	0.26	-0.32	-0.43	0.62	-0.17
YNR004W	-0.06	-0.18	0.08	-0.15	-0.23	0.36	-0.03
YOR006C	0	-0.4	0.34	-0.23	-0.47	0.67	-0.07
YPL067C	-0.14	-0.27	0.32	-0.36	-0.2	0.54	0.06
YIL168W	-0.23	-0.47	0.4	-0.47	-0.36	0.67	0.21
YNL304W	-0.15	-0.56	0.34	-0.3	-0.36	0.52	0
YGR249W	-0.06	-0.36	0.3	-0.22	-0.36	0.45	0.21
YGR057C	-0.1	-0.23	0.19	-0.23	-0.3	0.34	0.24
YBR063C	-0.23	-0.4	0.4	-0.36	-0.43	0.32	0.34
YBL060W	-0.27	-0.12	0.21	-0.17	-0.23	0.29	0.24
YBR057C	-0.3	-0.1	0.36	-0.25	-0.34	0.4	0.24
YDL159W	-0.18	-0.07	0.38	-0.23	-0.43	0.5	0.2
YGR239C	-0.2	-0.07	0.24	-0.15	-0.42	0.38	0.25
YJR129C	-0.34	-0.18	0.69	-0.2	-0.67	0.48	0.21
YHL036W	-0.17	-0.18	0.54	-0.27	-0.36	0.43	0.2
YJR152W	-0.15	-0.18		-0.3	-0.36	0.5	0.15
YBR008C	-0.25	-0.14	0.54	-0.29	-0.34	0.38	-0.04
YBR152W	-0.6	-0.27	0.62	-0.47	-0.49	0.62	-0.03
YJL063C	-0.2	-0.18	0.3	-0.23	-0.15	0.29	-0.03
YDR126W	-0.67	-0.51	0.48	-0.27	-0.69	0.52	0.07
YHR003C	-0.49	-0.36	0.56	-0.23	-0.47	0.43	0.03
YER109C	-0.36	-0.29	0.45	-0.14	-0.42	0.45	0.12
YLR457C	-0.38	-0.43	0.41	-0.03	-0.51	0.5	0.01
YMR144W	-0.12	-0.17	0.26	-0.12	-0.17	0.25	-0.14
YFR020W	-0.23	-0.47	0.41	-0.18	-0.49	0.56	-0.09
YOR190W	-0.15	-0.42	0.38	0.03	-0.4	0.48	-0.1
YGL252C	-0.14	-0.3	0.4	0.06	-0.12	0.43	-0.1
YMR153W	-0.23	-0.32	0.58	-0.01	-0.2	0.45	-0.12
YNL317W	-0.25	-0.18	0.36	0.01	-0.15	0.36	0.01
YJR058C	-0.23	-0.18	0.25	-0.03	-0.1	0.29	-0.03
YOR313C	-0.22	-0.4	0.52	-0.06	-0.18	0.52	0.12
YCR015C	-0.32	-0.43	0.43	0.19	-0.47	0.6	0.14
YHL009C	-0.18	-0.3	0.5	0.06	-0.4	0.6	0.12
YOL146W	-0.27	-0.22	0.45	0	-0.32	0.54	0.12
YEL064C	-0.36	-0.12	0.4	0.04	-0.34	0.41	0.11
YBR176W	-0.17	-0.04	0.34	-0.06	-0.23	0.32	0.04
YHR192W	-0.14	-0.15	0.45	-0.1	-0.3	0.58	0.04
YLR362W	-0.18	-0.18	0.5	-0.2	-0.27	0.76	0.14
YOR196C	-0.07	-0.1	0.32	-0.09	-0.27	0.64	0.06
YFR004W	-0.15	-0.2	0.36	-0.2	-0.38	0.78	-0.04
YDR092W	-0.1	-0.18	0.21	0.01	-0.23	0.5	0.01
YNL325C	-0.12	-0.2	0.29	0.07	-0.22	0.64	0.15
YGR226C	-0.27	-0.27	0.32	-0.1	-0.54	0.64	0.25
YDR475C	-0.1	-0.22	0.21	0.06	-0.42	0.48	0.11
YLR054C	-0.12	-0.25		-0.01	-0.51	0.62	0.16
YLR453C	-0.07	-0.27	0.32	-0.01	-0.71	0.69	0.08
YIR042C	-0.18	-0.2	0.19	-0.07	-0.54	0.5	0.08
YOR026W	-0.06	-0.3	0.21	-0.18	-0.56	0.71	0.11
YGR154C	0	-0.12	0.16	-0.14	-0.4	0.38	0.15
YER022W	-0.18	0.16	0.16	0.21	-0.36	0.56	-0.1
YER163C	-0.2	0.16	0.24	0.07	-0.49	0.84	-0.17
YOL128C	-0.01	0.21	0.29	0.12	-0.34	0.5	-0.1
YOL156W	-0.06	0.06	0.36	0.24	-0.3	0.5	0
YBL041W	-0.01	0.04	0.41	0.16	-0.43	0.62	-0.1
YFR041C	-0.15	-0.14	0.43	0.2	-0.34	0.62	-0.14
YLR360W	-0.18	0.06	0.34	0.16	-0.27	0.5	-0.1
YGR263C	-0.3	0.03	0.43	0.14	-0.29	0.58	-0.12
YGR147C	-0.2	-0.01	0.21	0.04	-0.17	0.52	-0.14
YGR179C	-0.51		0.36	0.14	-0.36	0.78	-0.38
YDR066C	-0.34	0.11	0.12	0.08	-0.32	0.43	-0.27
YFL048C	-0.34	-0.04	0.21	0.04	-0.18	0.32	-0.18
YMR263W	-0.45	-0.1	0.3	-0.04	-0.36	0.41	-0.23
YER051W	-0.51	0.08	0.2	0.14	-0.4	0.38	-0.01
YNL128W	-0.32	0.12	0.2	-0.09	-0.12	0.32	0.26
YJL023C	-0.43	0.29	0.34	-0.06	-0.3	0.71	0.29
YBR138C	-0.97	0.24	0.25	-0.36	-0.81	0.67	0.11
YKR004C	-1.12	0.15	0.52	-0.01	-0.56	0.69	0.07
YOR204W	-0.69	0.15	0.38	-0.15	-0.45	0.43	-0.07
YHR184W	-1	0.01	0.3	-0.3	-0.4	0.6	
YNL333W	-0.4	-0.01	0.2	-0.15	-0.23	0.32	0.11
YKL149C	-0.4	0.07	0.29	-0.14	-0.23	0.45	0.08
YML068W	-0.45	-0.04	0.34	-0.12	-0.3	0.54	-0.01
YGL172W	-0.84	-0.18	0.26	-0.03	-0.6	0.69	0.14
YBL019W	-1.06	-0.23	0.41	-0.27	-0.81	0.81	0.04
YML112W	-0.54	-0.18	0.3	-0.1	-0.49	0.54	0.12
YPR201W	-0.43	-0.1	0.36	-0.12	-0.45	0.6	0.16
YEL037C	-0.76	-0.12	0.34	-0.36	-0.71	0.69	0.32
YGL181W	-0.54	-0.14	0.24	-0.23	-0.49	0.38	0.2
YDR160W	-0.62	-0.3	0.21	-0.3	-0.62	0.56	0.32
YER152C	-0.67	-0.1	0.32	-0.42	-0.23	0.34	0.25
YOL132W	-0.81	-0.18	0.58	-0.4	-0.34	0.62	0.21
YDR118W	-0.84	-0.42	0.4	-0.12	-0.47	0.89	0.08
YDR200C	-0.71	-0.34	0.34	-0.27	-0.27	0.76	0.07
YGL263W	-0.6	-0.27	0.26	-0.12	-0.17	0.5	0.15
YDR130C	-0.92	-0.56	0.29	-0.1	-0.36	0.69	0.11
YHR011W	-0.86	-0.49	0.38	-0.18	-0.34	0.52	
YDR132C	-1.03	-0.47	0.54	-0.36	-0.34	0.62	0.15
YML102W	-1.18	-0.27	0.6	-0.14	-0.4	0.67	0.16
YBR102C	-0.71	-0.3	0.26	-0.27	-0.49	0.43	0.2
YMR244W	-0.71	-0.42	0.29	-0.34	-0.36	0.48	0.29
YBL010C	-0.92	-0.56	0.34	-0.42	-0.32	0.38	0.14
YEL036C	-0.69	-0.27	0.45	-0.15	-0.42	0.26	0.07
YER106W	-0.67	-0.36	0.26	-0.42	-0.23	0.48	0.48
YJR122W	-0.79	-0.18	0.2	-0.23	-0.27	0.34	0.43
YGR053C	-1.15	-0.62	0.19	-0.18	-0.34	0.84	0.6
YFL011W	-0.92	-0.58	0.32	-0.36	-0.47	0.89	0.84
YDR322W	-0.76	-0.47	0.26	-0.18	-0.62	0.74	0.74
YDR076W	-0.79	-0.42	0.38	-0.01	-0.6	0.6	0.67
YDR273W	-0.92	-0.36	0.24	-0.11	-0.5	0.52	0.57
YPL060W	-0.86	-0.42	0.21	-0.04	-0.56	0.78	0.54
YGL134W	-0.86	-0.56	0.4	-0.1	-0.67	0.69	0.41
YEL023C	-0.54	-0.3	0.26	0	-0.34	0.62	0.26
YHL038C	-0.43	-0.17	0.25	-0.1	-0.3	0.58	0.2
YOL114C	-0.36	-0.27	0.3	-0.25	-0.2	0.45	0.24
YOR388C	-0.51	-0.42	0.48	-0.27	-0.3	0.74	0.32
YIL166C	-0.79	-0.6	0.74	-0.27	-0.51	1.09	0.62
YBR273C	-0.64	-0.49	0.52	-0.15	-0.32	0.67	0.36
YMR232W	-0.4	-0.38	0.3	-0.12	-0.42	0.56	0.4
YDR362C	-0.3	-0.25	0.4	-0.03	-0.23	0.43	0.25
YJL038C	-0.36	-0.32	0.6	-0.06	-0.36	0.58	0.48
YBR297W	-0.92	-0.34	0.69	-0.32	-0.54	0.64	0.97
YDR223W	-0.74	-0.3	0.76	-0.07	-0.32	0.62	0.94
YGR288W	-0.49	-0.06	0.48	-0.18	-0.2	0.64	0.54
YGL143C	-0.62	-0.23	0.43	-0.17	-0.09	0.64	0.58
YHR156C	-0.56	-0.14	0.34	-0.17	-0.18	0.54	
YPR152C	-0.79	-0.27	0.54	-0.27	-0.34	0.69	0.52
YFR022W	-0.71	-0.3	0.67	-0.09	-0.3	0.78	0.6
YHR014W	-0.56	-0.06	0.41	-0.12	-0.17	0.52	0.29
YKR048C	-0.47	-0.12	0.43	-0.2	-0.12	0.43	0.34
YOR237W	-0.67	-0.12	0.52	-0.42	-0.14	0.54	0.45
YLR399C	-0.51	0.12	0.24	-0.18	0.03	0.29	0.2
YOR017W	-0.27	0.08	0.15	-0.4	-0.03	0.34	0.38
YBR278W	-0.2	0	0.15	-0.27	-0.03	0.32	0.25
YBR270C	-0.34	-0.06	0.32	-0.43	-0.17	0.6	0.45
YHR009C	-0.17	-0.02	0.14	-0.14	-0.03	0.25	0.15
YOR274W	-0.49	0.14	0.32	-0.49	-0.12	0.84	0.41
YKL124W	-0.49	-0.09	0.16	-0.4	-0.09	0.64	0.2
YGL184C	-0.86	-0.03	0.19	-0.56	-0.25	0.97	0.48
YLR349W	-0.4	0.04	0.06	-0.15	-0.06	0.32	0.19
YDR204W	-0.56	0.16	0.03	-0.3	-0.1	0.81	0.3
YDL233W	-0.79	-0.18	0.25	-0.22	-0.23	0.67	0.67
YBL080C	-0.64	-0.03	0.14	-0.17	0.03	0.48	0.5
YFL059W	-0.62	-0.2	-0.03	-0.18	-0.03	0.56	0.58
YDR506C	-0.49	0.01	0.06	-0.03	0.16	0.52	0.36
YDR201W	-0.36	-0.1	0.01	-0.17	0.15	0.26	0.26
YMR017W	-0.42	-0.25	0.24	-0.3	-0.01	0.16	0.36
YDR535C	-0.43	-0.34	0.11	-0.36	-0.2	0.34	0.64
YPR177C	-0.17	-0.49	0.04	-0.04	-0.14	0.19	0.15
YER179W	-0.67	-1.12	0.12	-0.15	-0.4	0.78	0.38
YJL116C	-0.4	-0.49	-0.07	-0.15	-0.1	0.38	0.24
YGR141W	-0.36	-0.47	0.03	-0.22	-0.07	0.29	0.25
YML058W	-0.27	-0.3	-0.04	-0.22	-0.06	0.26	0.2
YGR021W	-0.56	-0.56	0.03		0	0.62	0.56
YIL084C	-0.4	-0.49	0	-0.01	0.01	0.56	
